Sr No,Title of the book,Author,Illustrator,Publication,Year of Publication,Language,Age group,Genre 1,Genre 2,Genre 3,Format of the book,Awards,SEL,Theme,Setting,Recommendation,Blog,Additional Material,Availability,Readers' Review,Parent's review
,,,,,,,,,,,,,,,,,,,,,
1,My Mother's Sari,Sandhy Rao,Nina Sabnani,Tulika,2023,English,3 to 10,,,,Paperback,No,Yes,Imagination,India,Yes,English,,,,
2,Exclamation Mark,Amy Krouse Rosenthal ,Tom Lichenheld,New York Times Best Selling Team,2013,English,3 to 10,,,,Paperback,No,Yes,Self-awareness,NA,,,,,,
3,Lady Tarzan,Lavanya Kartik,Rajiv Eipe,Jugnoo Publication,2023,English,5 to 10,,,,Paperback,No,No,Conservation,India,,,,,,
4,Kaisa Kaisa Khana,Prabhat,Elan Shaw,Jugnoo Publication,2019,Hindi,3 to 6,,,,Paperback,No,No,Food,India,,,,,,
